"Marca temporal","Sexo del viajante","Edad del viajante","Año en el que se realizó","Medio de transporte principal utilizado","Duración aproximada del viaje (en dias)","Dinero gastado (en €)","Localización del destino","Número de acompañantes","Tipo de acompañantes (en caso de haber varias respuestas correctas, seleccione la que corresponda a un número mayor de acompañantes)","¿Cómo organizó el viaje?","Satisfacción con el viaje realizado","  ¿Cuál es el factor que le impide viajar más?  (Seleccione 1 o más factores)"
"2019/11/05 5:20:13 p. m. CET","Hombre","22","2019","Coche","5","300","Europa","3","Familiares","Páginas web / aplicaciones","10","Ya viajo lo suficiente"
"2019/11/06 2:15:52 p. m. CET","Hombre","21","2018","Avión","7","400","Canarias","1","Otro","Agencia de viajes","9","Falta de dinero;Falta de tiempo"
"2019/11/06 2:17:31 p. m. CET","Mujer","48","Antes de 2014","Batiscafo","1001","1002","Oceanía","1003","Solo","Agencia de viajes","10","Ya viajo lo suficiente"
"2019/11/06 2:19:12 p. m. CET","Mujer","17","2019","Coche","7","3000","Península","3","Familiares","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/06 2:20:52 p. m. CET","Mujer","21","2019","Avión","3","300","Europa","1","Familiares","Páginas web / aplicaciones","8","Dificultad en la organización del viaje"
"2019/11/06 2:22:02 p. m. CET","Hombre","1999","2019","Coche","100000009","45880097","Europa","9999","Familiares","Otra persona","10","Falta de dinero"
"2019/11/06 2:23:57 p. m. CET","Hombre","20","2019","Bus","2","75","Península","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/06 2:24:26 p. m. CET","Hombre","19","2019","Coche","3","200","Península","3","Familiares","Páginas web / aplicaciones","10","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 2:24:31 p. m. CET","Hombre","18","2019","Bus","30","1000","Península","2","Familiares","Otra persona","10","Falta de dinero"
"2019/11/06 2:24:42 p. m. CET","Hombre","2001","Antes de 2014","Coche","2","3.1415","Asia","3","Otro","Otra persona","1","Ya viajo lo suficiente;Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:32:20 p. m. CET","Hombre","18","2019","Tren","8","700","Península","12","Amigos","Páginas web / aplicaciones","7","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:32:20 p. m. CET","Hombre","22","2019","Avión","30","1600","Asia","1","Otro","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/06 2:35:39 p. m. CET","Mujer","18","2019","Coche","1","300","Península","3","Familiares","Páginas web / aplicaciones","8","Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 2:36:36 p. m. CET","Mujer","18","2016","Coche","1","300","Península","3","Amigos","Páginas web / aplicaciones","10","Dificultad para encontrar gente con la quien viajar"
"2019/11/06 2:53:29 p. m. CET","Mujer","29","2019","Coche","15","1200","Península","1","Otro","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/06 3:01:39 p. m. CET","Hombre","21","2019","Coche","5","1500","Península","3","Familiares","Páginas web / aplicaciones","8","Ya viajo lo suficiente"
"2019/11/06 3:04:00 p. m. CET","Hombre","21","2019","Coche","2","35","Península","9","Amigos","Páginas web / aplicaciones","7","Falta de tiempo"
"2019/11/06 3:06:45 p. m. CET","Hombre","21","2019","Avión","5","300","Canarias","1","Otro","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/06 3:13:05 p. m. CET","Hombre","18","2019","Avión","1","600","Baleares","9","Amigos","Otra persona","9","Falta de dinero"
"2019/11/06 3:16:04 p. m. CET","Hombre","23","2019","Coche","7","200","Península","9","Amigos","Otra persona","10","Falta de tiempo"
"2019/11/06 3:23:19 p. m. CET","Mujer","21","2019","Coche","7","300","Península","3","Amigos","Agencia de viajes","8","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 3:28:28 p. m. CET","Hombre","20","2019","Coche","7","1000","Península","3","Familiares","Otra persona","10","Falta de dinero;Falta de tiempo"
"2019/11/06 3:28:33 p. m. CET","Hombre","20","2019","Coche","4","350","Península","7","Familiares","Otra persona","7","Falta de dinero;Falta de tiempo"
"2019/11/06 3:31:56 p. m. CET","Hombre","19","2019","Avión","15","2000","Centro América / América del Sur","3","Familiares","Páginas web / aplicaciones","10","Falta de tiempo"
"2019/11/06 3:33:55 p. m. CET","Mujer","23","2019","Coche","3","80","Península","1","Familiares","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/06 3:33:59 p. m. CET","Hombre","22","2019","Avión","2","170","Europa","0","Solo","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 3:38:15 p. m. CET","Hombre","19","2019","Bus","1","0","Península","19","Otro","Otra persona","9","Falta de tiempo"
"2019/11/06 3:44:59 p. m. CET","Mujer","20","2019","Avión","31","700","Asia","4","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/06 3:50:17 p. m. CET","Hombre","23","2015","Bus","7","300","Península","15","Amigos","Otra persona","9","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 3:55:00 p. m. CET","Mujer","21","2019","Coche","4","200","Península","1","Otro","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/06 4:12:23 p. m. CET","Mujer","24","2019","Avión","5","200","África","3","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Dificultad en la organización del viaje"
"2019/11/06 4:20:57 p. m. CET","Hombre","20","2017","Coche","5","600","Península","3","Familiares","Agencia de viajes","7","Falta de dinero;Falta de tiempo"
"2019/11/06 5:08:01 p. m. CET","Hombre","20","2019","Coche","3","250","Península","1","Amigos","Otra persona","10","Falta de tiempo"
"2019/11/06 5:15:19 p. m. CET","Mujer","18","2019","Avión","15","1500","Europa","3","Familiares","Agencia de viajes","7","Falta de dinero"
"2019/11/06 5:23:34 p. m. CET","Mujer","18","2019","Tren","7","300","Península","6","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/06 5:30:53 p. m. CET","Mujer","54","2019","Coche","2","150","Península","1","Familiares","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/06 5:32:36 p. m. CET","Hombre","18","2019","Coche","3","72","Península","20","Otro","Otra persona","6","Ya viajo lo suficiente"
"2019/11/06 5:48:39 p. m. CET","Mujer","18","2019","Coche","20","4000","Península","4","Familiares","Otra persona","7","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 5:55:24 p. m. CET","Hombre","57","2019","Coche","2","200","Península","1","Familiares","Páginas web / aplicaciones","7","Dificultad para encontrar gente con la quien viajar"
"2019/11/06 6:18:27 p. m. CET","Hombre","22","2017","Coche","1","10","Península","3","Otro","Otra persona","8","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 6:20:04 p. m. CET","Mujer","18","2019","Avión","1","3000","Europa","2","Familiares","Agencia de viajes","7","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/06 6:26:23 p. m. CET","Mujer","23","2019","Bus","4","0","Península","10","Amigos","Otra persona","3","Falta de dinero;Falta de tiempo"
"2019/11/06 6:48:04 p. m. CET","Hombre","18","2019","Avión","15","4000","Asia","2","Familiares","Agencia de viajes","7","Falta de dinero"
"2019/11/06 7:29:26 p. m. CET","Hombre","20","2019","Tren","5","400","Península","5","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/06 8:02:26 p. m. CET","Hombre","35","2019","Avión","7","100","Europa","0","Solo","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/06 10:13:37 p. m. CET","Hombre","23","2019","Coche","9","700","Península","1","Amigos","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 2:04:54 a. m. CET","Hombre","23","2019","Tren","3","150","Península","2","Amigos","Otra persona","7","Falta de tiempo"
"2019/11/07 10:07:23 a. m. CET","Hombre","18","2018","Coche","6","500","Península","3","Familiares","Páginas web / aplicaciones","8","Ya viajo lo suficiente"
"2019/11/07 11:54:19 a. m. CET","Hombre","22","2019","Coche","3","80","Península","6","Amigos","Otra persona","6","Dificultad en la organización del viaje"
"2019/11/07 12:13:14 p. m. CET","Hombre","29","2019","Bicicleta","5","0","África","27","Otro","Otra persona","10","Ya viajo lo suficiente;Falta de dinero"
"2019/11/07 12:13:23 p. m. CET","Mujer","19","2019","Avión","11","5500","Asia","4","Familiares","Agencia de viajes","8","Falta de dinero"
"2019/11/07 12:13:45 p. m. CET","Mujer","20","2019","Avión","5","200","Península","3","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 12:14:03 p. m. CET","Mujer","22","2019","Avión","1","200","Europa","0","Solo","Otra persona","10","Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:14:45 p. m. CET","Hombre","24","2019","Avión","9","900","Europa","8","Amigos","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/07 12:15:21 p. m. CET","Hombre","22","2019","Coche","2","500","Península","4","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:15:43 p. m. CET","Mujer","25","2018","Avión","7","400","Europa","6","Amigos","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/07 12:15:50 p. m. CET","Mujer","21","2019","Tren","4","200","Península","1","Otro","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje"
"2019/11/07 12:15:53 p. m. CET","Hombre","24","2019","Avión","6","400","Europa","3","Amigos","Páginas web / aplicaciones","8","Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:16:49 p. m. CET","Mujer","22","2019","Coche","2","60","Península","4","Amigos","Páginas web / aplicaciones","7","Falta de dinero"
"2019/11/07 12:17:23 p. m. CET","Hombre","22","2017","Coche","1","200","Península","7","Amigos","Páginas web / aplicaciones","7","Falta de dinero;Falta de tiempo"
"2019/11/07 12:18:42 p. m. CET","Mujer","21","2019","Coche","15","1000","Europa","3","Familiares","Otra persona","10","Falta de dinero"
"2019/11/07 12:19:38 p. m. CET","Mujer","25","2019","Avión","5","5000","Europa","4","Familiares","Agencia de viajes","10","Falta de dinero"
"2019/11/07 12:19:54 p. m. CET","Mujer","21","2018","Bus","6","400","Península","3","Amigos","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 12:21:16 p. m. CET","Hombre","24","2019","Avión","5","300","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 12:22:09 p. m. CET","Mujer","20","2019","Avión","4","200","Europa","1","Amigos","Otra persona","9","Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:22:20 p. m. CET","Hombre","24","2018","Avión","5","500","Canarias","3","Familiares","Agencia de viajes","6","Falta de dinero;Falta de tiempo"
"2019/11/07 12:23:27 p. m. CET","Hombre","20","2019","Coche","7","0","Península","3","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Dificultad en la organización del viaje"
"2019/11/07 12:23:36 p. m. CET","Mujer","20","2019","Tren","8","1500","Península","2","Familiares","Páginas web / aplicaciones","7","Falta de dinero;Falta de tiempo"
"2019/11/07 12:24:29 p. m. CET","Mujer","20","2019","Avión","5","1000","Europa","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 12:28:44 p. m. CET","Mujer","19","2019","Coche","15","600","Península","1","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 12:29:43 p. m. CET","Mujer","20","2019","Coche","7","1000","Península","3","Familiares","Otra persona","8","Falta de dinero"
"2019/11/07 12:33:24 p. m. CET","Hombre","20","2019","Avión","21","700","Europa","1","Amigos","Agencia de viajes","7","Falta de dinero"
"2019/11/07 12:35:35 p. m. CET","Hombre","25","2019","Avión","4","200","Europa","2","Amigos","Otra persona","10","Falta de tiempo"
"2019/11/07 12:35:49 p. m. CET","Hombre","23","2019","Coche","3","300","Península","3","Familiares","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo;Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:37:52 p. m. CET","Mujer","21","2019","Avión","5","500","Canarias","1","Familiares","Páginas web / aplicaciones","9","Falta de dinero;Falta de tiempo"
"2019/11/07 12:40:38 p. m. CET","Mujer","19","2018","Bus","10","200","Península","4","Amigos","Otra persona","6","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:42:58 p. m. CET","Mujer","21","2019","Avión","4","350","Europa","2","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 12:43:53 p. m. CET","Mujer","20","2019","Tren","5","300","Península","6","Amigos","Otra persona","10","Dificultad en la organización del viaje"
"2019/11/07 12:45:05 p. m. CET","Mujer","24","2019","Avión","15","2000","Centro América / América del Sur","2","Familiares","Agencia de viajes","9","Falta de dinero;Falta de tiempo"
"2019/11/07 12:45:19 p. m. CET","Hombre","22","2019","Coche","4","150","Península","10","Amigos","Otra persona","8","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 12:47:01 p. m. CET","Mujer","22","2019","Bus","7","400","Península","2","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 12:49:07 p. m. CET","Hombre","24","2019","Coche","3","100","Península","3","Amigos","Otra persona","9","Falta de dinero;Falta de tiempo"
"2019/11/07 12:50:16 p. m. CET","Mujer","23","2019","Avión","7","400","Europa","1","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 12:54:40 p. m. CET","Hombre","23","2018","Avión","5","250","Europa","5","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 12:58:41 p. m. CET","Mujer","21","2019","Avión","13","700","África","1","Otro","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/07 1:06:45 p. m. CET","Mujer","22","2019","Avión","15","200","Europa","0","Otro","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo"
"2019/11/07 1:09:45 p. m. CET","Mujer","22","2019","Coche","7","1000","Europa","1","Otro","Agencia de viajes","9","Falta de dinero"
"2019/11/07 1:10:04 p. m. CET","Hombre","20","2019","Coche","2","40","Península","5","Amigos","Otra persona","9","Falta de dinero;Falta de tiempo"
"2019/11/07 1:11:47 p. m. CET","Mujer","19","2019","Avión","7","500","Europa","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 1:13:13 p. m. CET","Mujer","19","2019","Bus","7","100","Península","4","Amigos","Páginas web / aplicaciones","7","Falta de dinero"
"2019/11/07 1:15:17 p. m. CET","Mujer","19","2019","Avión","8","1500","Baleares","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 1:16:25 p. m. CET","Mujer","21","2019","Coche","1","100","Península","4","Familiares","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/07 1:16:38 p. m. CET","Mujer","22","2018","Coche","3","200","Península","1","Otro","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/07 1:18:58 p. m. CET","Mujer","21","2019","Avión","1","100","Europa","5","Familiares","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 1:19:37 p. m. CET","Mujer","24","2019","Tren","10","350","Europa","0","Solo","Otra persona","7","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 1:36:39 p. m. CET","Mujer","23","2019","Avión","4","800","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 1:40:54 p. m. CET","Hombre","22","2019","Avión","5","500","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 1:41:08 p. m. CET","Mujer","23","2019","Coche","2","150","Península","1","Otro","Otra persona","8","Falta de dinero"
"2019/11/07 1:44:14 p. m. CET","Mujer","24","2019","Avión","7","1500","Europa","8","Familiares","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 1:51:19 p. m. CET","Mujer","25","2019","Avión","4","700","Europa","3","Familiares","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 1:58:16 p. m. CET","Mujer","21","2019","Avión","7","800","Baleares","1","Familiares","Otra persona","9","Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 2:01:53 p. m. CET","Mujer","22","2019","Avión","7","250","Baleares","7","Amigos","Páginas web / aplicaciones","9","Falta de tiempo"
"2019/11/07 2:02:10 p. m. CET","Mujer","21","2018","Avión","3","80","Europa","1","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 2:16:05 p. m. CET","Mujer","20","2019","Avión","5","100","Canarias","3","Familiares","Agencia de viajes","9","Falta de dinero;Falta de tiempo"
